x	y	z	peak
57	46	69	1.069438099861145
57	47	15	4.0444560050964355
57	64	31	3.0345163345336914
57	80	25	2.5125646591186523
58	17	33	8.1759271621704102
58	24	31	2.9073598384857178
58	26	50	5.9187383651733398
58	30	60	7.064661979675293
58	46	64	0.51708990335464478
58	54	53	0.4447094202041626
58	61	62	5.2877750396728516
58	69	22	2.5562758445739746
58	77	28	2.3813939094543457
58	85	59	0.31920501589775085
59	19	27	5.1428737640380859
59	19	42	7.0435528755187988
59	33	29	2.7485578060150146
59	56	42	1.0011636018753052
59	59	70	8.0977792739868164
59	85	39	1.5887616872787476
59	89	54	1.6115607023239136
60	32	21	3.00282883644104
60	38	58	6.2202835083007812
60	41	38	0.4858965277671814
60	52	36	2.2805702686309814
61	38	38	0.54270923137664795
61	61	20	1.8211711645126343
61	64	17	1.9049283266067505
61	74	36	6.6704568862915039
62	84	57	1.4609261751174927
62	91	49	2.0373013019561768
62	95	36	0.31397774815559387
63	26	26	5.5424637794494629
63	36	26	5.4461865425109863
63	93	44	1.595232367515564
64	21	43	3.6082854270935059
64	36	66	4.5970058441162109
64	49	68	1.7449194192886353
64	51	64	1.5167757272720337
64	55	27	1.4134382009506226
64	86	53	2.0673022270202637
65	68	49	6.4323825836181641
65	80	57	1.0829007625579834
66	37	14	2.4153995513916016
66	41	22	5.8799643516540527
66	43	57	7.771878719329834
66	45	70	0.60290360450744629
66	52	47	0.80456709861755371
66	54	25	1.4371603727340698
66	61	21	2.3114867210388184
66	66	37	3.0170977115631104
66	81	27	0.61421388387680054
66	84	39	2.8803942203521729
67	25	31	7.9125661849975586
67	49	27	1.4418741464614868
67	59	33	2.176511287689209
67	61	66	6.7292232513427734
67	67	28	3.0625767707824707
67	74	25	1.5001929998397827
68	29	30	8.846013069152832
68	34	32	8.3228435516357422
68	41	29	4.4395198822021484
68	50	42	1.2309374809265137
68	56	39	0.30333513021469116
69	75	48	5.2144021987915039
69	79	41	5.1333951950073242
70	65	51	9.7095975875854492
71	63	56	7.8286638259887695
71	69	35	4.6770420074462891
72	40	40	1.6013145446777344
72	42	47	0.29792219400405884
72	44	38	2.1521644592285156
72	63	59	8.0052490234375
72	67	43	4.8996491432189941
73	33	29	6.8221406936645508
73	45	24	0.63066887855529785
73	46	54	2.6382591724395752
74	73	43	2.7848947048187256
77	53	49	2.3648357391357422
78	43	46	1.3123754262924194
78	58	46	0.51536315679550171
